figure,pdf,archetype,core_conclusion,source_data
fig29_b_transfer_accuracy_vs_mae,figs_main\fig29_b_transfer_accuracy_vs_mae.pdf,quantitative subfigure,Unseen transfer metrics support auditability rather than recognition competitiveness.,outputs/revision_v1/awa2/awa2_protocol_b_seedwise.csv
fig29_c_per_class_protocol_b_failures,figs_main\fig29_c_per_class_protocol_b_failures.pdf,quantitative subfigure,Per-class diagnostics localize semantic-transfer failures such as bat.,outputs/revision_v1/awa2/awa2_protocol_b_per_class_seed42.csv; outputs/revision_v1/awa2/awa2_bat_diagnostic.csv
fig30_a_synthetic_macro_f1,figs_main\fig30_a_synthetic_macro_f1.pdf,quantitative subfigure,Synthetic controls show recoverability and noise degradation within a bounded setting.,outputs/revision_v1/synthetic/synthetic_summary_by_noise.csv
fig30_b_synthetic_rule_recovery,figs_main\fig30_b_synthetic_rule_recovery.pdf,quantitative subfigure,Synthetic controls show recoverability and noise degradation within a bounded setting.,outputs/revision_v1/synthetic/synthetic_summary_by_noise.csv
fig30_c_synthetic_coverage,figs_main\fig30_c_synthetic_coverage.pdf,quantitative subfigure,Synthetic controls show recoverability and noise degradation within a bounded setting.,outputs/revision_v1/synthetic/synthetic_summary_by_noise.csv
fig30_d_synthetic_threshold_error,figs_main\fig30_d_synthetic_threshold_error.pdf,quantitative subfigure,Synthetic controls show recoverability and noise degradation within a bounded setting.,outputs/revision_v1/synthetic/synthetic_summary_by_noise.csv
fig31_a_portability_coverage_fidelity,figs_main\fig31_a_portability_coverage_fidelity.pdf,quantitative subfigure,Cross-domain portability must be gated by coverage and fidelity.,outputs/revision_v1/statistics/cross_domain_generalization.csv
fig31_b_transition_mae_by_scope,figs_main\fig31_b_transition_mae_by_scope.pdf,quantitative subfigure,Transition reconstruction differs by dataset and validation scope.,outputs/revision_v1/statistics/cross_domain_generalization.csv
fig31_c_cross_domain_object_metrics,figs_main\fig31_c_cross_domain_object_metrics.pdf,quantitative subfigure,"v3 stress tests preserve scoped interpretation across AwA2, SUN, and Derm7pt.",outputs/revision_v3/statistics/object_level_metric_summary.csv
fig32_a_sun_category_histograms,figs_main\fig32_a_sun_category_histograms.pdf,quantitative subfigure,SUN category diagnostics are dominated by abstention and conflict.,outputs/revision_v3/sun/sun_category_diagnostics_v3.csv
fig32_b_sun_coverage_conflict_map,figs_main\fig32_b_sun_coverage_conflict_map.pdf,quantitative subfigure,"SUN categories show high-conflict, low-coverage portability failure modes.",outputs/revision_v3/sun/sun_category_diagnostics_v3.csv
fig32_c_sun_best_covered_categories,figs_main\fig32_c_sun_best_covered_categories.pdf,quantitative subfigure,"Best-covered SUN categories are narrow exceptions, not broad portability proof.",outputs/revision_v3/sun/sun_category_diagnostics_v3.csv
fig33_a_derm7pt_diagnosis_diagnostics,figs_main\fig33_a_derm7pt_diagnosis_diagnostics.pdf,quantitative subfigure,Derm7pt diagnosis strata vary under technical validation only.,outputs/revision_v3/derm7pt/derm7pt_diagnosis_diagnostics_v3.csv
fig33_b_derm7pt_encoder_manifest,figs_main\fig33_b_derm7pt_encoder_manifest.pdf,schematic subfigure,"Derm7pt v3 uses a locked ImageNet ResNet-50 encoder, not a clinical model.",outputs/revision_v3/derm7pt/derm7pt_encoder_manifest.json
fig33_c_derm7pt_concept_diagnostics,figs_main\fig33_c_derm7pt_concept_diagnostics.pdf,quantitative subfigure,Checklist-concept diagnostics support retrospective technical interpretation only.,outputs/revision_v3/derm7pt/derm7pt_concept_diagnostics_v3.csv
fig34_a_artifact_hash_families,figs_main\fig34_a_artifact_hash_families.pdf,quantitative subfigure,The v3 artifact index records hash-addressed artifact families.,outputs/revision_v3/artifact_index_revision_v3.csv
fig34_b_manuscript_claim_checks,figs_main\fig34_b_manuscript_claim_checks.pdf,quantitative subfigure,Automated claim checks tie manuscript claims to generated artifacts.,outputs/revision_v2/qc/claim_consistency_check.csv
fig34_c_v3_qc_checklist,figs_main\fig34_c_v3_qc_checklist.pdf,quantitative subfigure,The v3 QC checklist passes required manuscript and artifact checks.,outputs/revision_v3/qc/qc_checklist.csv
fig34_d_submission_bundle_gates,figs_main\fig34_d_submission_bundle_gates.pdf,schematic subfigure,The shareable submission bundle records required files and excludes raw private data.,outputs/revision_v3/submission_bundle/manifest.json; outputs/revision_v3/manifest_revision_v3.json
